round,acc,bytes_up,bytes_down,round_time,active_clients,seed,secure_mode,num_clients,dropout_prob
1,0.5888324975967407,21780,21780,16.94892907142639,5,42,none,8,0.3
2,0.682741105556488,21780,21780,0.12249875068664551,5,42,none,8,0.3
3,0.682741105556488,21780,21780,0.1061396598815918,5,42,none,8,0.3
4,0.682741105556488,21780,21780,0.11581683158874512,5,42,none,8,0.3
5,0.682741105556488,21780,21780,0.11227059364318848,5,42,none,8,0.3
6,0.682741105556488,21780,21780,0.43477821350097656,5,42,none,8,0.3
7,0.789340078830719,21780,21780,0.1195068359375,5,42,none,8,0.3
8,0.682741105556488,21780,21780,0.1265277862548828,5,42,none,8,0.3
9,0.682741105556488,21780,21780,0.12749791145324707,5,42,none,8,0.3
10,0.796954333782196,21780,21780,0.32048869132995605,5,42,none,8,0.3
11,0.9162436723709106,21780,21780,0.367633581161499,5,42,none,8,0.3
12,0.9162436723709106,21780,21780,0.09966897964477539,5,42,none,8,0.3
13,0.9162436723709106,21780,21780,0.10029840469360352,5,42,none,8,0.3
14,0.9289340376853943,21780,21780,0.11366891860961914,5,42,none,8,0.3
15,0.9644669890403748,21780,21780,0.39110279083251953,5,42,none,8,0.3
16,0.989847719669342,21780,21780,0.10753893852233887,5,42,none,8,0.3
17,0.9974619150161743,21780,21780,0.09752726554870605,5,42,none,8,0.3
18,0.9923858046531677,21780,21780,0.11164474487304688,5,42,none,8,0.3
19,1.0,21780,21780,0.09800362586975098,5,42,none,8,0.3
20,1.0,21780,21780,0.11250805854797363,5,42,none,8,0.3
21,1.0,21780,21780,0.09553384780883789,5,42,none,8,0.3
22,1.0,21780,21780,0.11870765686035156,5,42,none,8,0.3
23,1.0,21780,21780,0.11089468002319336,5,42,none,8,0.3
24,1.0,21780,21780,0.11702704429626465,5,42,none,8,0.3
25,1.0,21780,21780,0.11057519912719727,5,42,none,8,0.3
26,1.0,21780,21780,0.11493873596191406,5,42,none,8,0.3
27,1.0,21780,21780,0.10053443908691406,5,42,none,8,0.3
28,1.0,21780,21780,0.10953068733215332,5,42,none,8,0.3
29,1.0,21780,21780,0.09563946723937988,5,42,none,8,0.3
30,1.0,21780,21780,0.11084604263305664,5,42,none,8,0.3
31,1.0,21780,21780,0.11310100555419922,5,42,none,8,0.3
32,1.0,21780,21780,0.1131289005279541,5,42,none,8,0.3
33,1.0,21780,21780,0.10040473937988281,5,42,none,8,0.3
34,1.0,21780,21780,0.11852884292602539,5,42,none,8,0.3
35,1.0,21780,21780,0.09681820869445801,5,42,none,8,0.3
36,1.0,21780,21780,0.11365866661071777,5,42,none,8,0.3
37,1.0,21780,21780,0.10364031791687012,5,42,none,8,0.3
38,1.0,21780,21780,0.1154947280883789,5,42,none,8,0.3
39,1.0,21780,21780,0.10452413558959961,5,42,none,8,0.3
40,1.0,21780,21780,0.12010383605957031,5,42,none,8,0.3
41,1.0,21780,21780,0.1060950756072998,5,42,none,8,0.3
42,1.0,21780,21780,0.11551928520202637,5,42,none,8,0.3
43,1.0,21780,21780,0.09959173202514648,5,42,none,8,0.3
44,1.0,21780,21780,0.11503982543945312,5,42,none,8,0.3
45,1.0,21780,21780,0.10600781440734863,5,42,none,8,0.3
46,1.0,21780,21780,0.3758673667907715,5,42,none,8,0.3
47,1.0,21780,21780,0.09852242469787598,5,42,none,8,0.3
48,1.0,21780,21780,0.1007070541381836,5,42,none,8,0.3
49,1.0,21780,21780,0.11738705635070801,5,42,none,8,0.3
50,1.0,21780,21780,0.09460282325744629,5,42,none,8,0.3
